-0.52	-0.06	1.21
-0.52	-0.06	1.21
-0.52	-0.03	1.16
-0.56	-0.01	1.16
-0.5	-0.03	1.18
-0.52	-0.01	1.18
-0.5	-0.06	1.19
-0.5	-0.06	1.19
-0.5	-0.03	1.22
-0.49	-0.1	1.23
-0.5	-0.06	1.21
-0.54	-0.08	1.19
-0.5	-0.06	1.21
-0.5	-0.06	1.21
-0.5	-0.06	1.21
-0.5	-0.05	1.18
-0.48	-0.06	1.25
-0.52	-0.04	1.21
-0.52	-0.04	1.21
-0.52	-0.06	1.21
-0.48	-0.04	1.23
-0.48	-0.08	1.21
-0.46	-0.04	1.23
-0.52	-0.06	1.19
-0.52	-0.06	1.19
-0.54	-0.08	1.19
-0.5	-0.08	1.21
-0.5	-0.08	1.19
-0.5	-0.05	1.18
-0.5	-0.08	1.19
-0.5	-0.08	1.19
-0.51	-0.1	1.21
-0.5	-0.08	1.21
-0.52	-0.04	1.21
-0.51	-0.1	1.21
-0.51	-0.1	1.21
-0.46	-0.07	1.2
-0.47	-0.12	1.21
-0.48	-0.07	1.19
-0.46	-0.08	1.21
-0.51	-0.1	1.23
-0.51	-0.1	1.23
-0.53	-0.13	1.2
-0.5	-0.06	1.23
-0.5	-0.08	1.17
-0.54	-0.06	1.25
-0.56	-0.06	1.21
-0.56	-0.06	1.21
-0.49	-0.11	1.24
-0.46	-0.26	1.23
-0.35	-0.36	1.22
-0.25	-0.4	1.24
-0.25	-0.4	1.24
-0.13	-0.36	1.3
-0.08	-0.19	1.29
0.05	-0.05	1.35
0.15	0.01	1.3
0.06	0.02	1.3
0.06	0.02	1.3
-0.02	0.06	1.34
-0.26	0.09	1.3
-0.43	0.11	1.24
-0.55	0.03	1.19
-0.7	-0.15	1.08
-0.7	-0.15	1.08
-0.65	-0.3	1.09
-0.68	-0.44	1.05
-0.63	-0.56	1.0
-0.62	-0.61	1.03
-0.62	-0.61	1.03
-0.51	-0.76	1.0
-0.45	-0.87	0.92
-0.34	-0.99	0.82
0.11	-1.14	0.72
0.27	-1.1	0.7
0.27	-1.1	0.7
0.27	-1.14	0.68
0.12	-1.02	0.87
-0.06	-0.84	1.06
-0.25	-0.66	1.15
-0.25	-0.68	1.11
-0.25	-0.68	1.11
-0.15	-0.7	1.13
-0.07	-0.65	1.16
-0.08	-0.48	1.2
0.0	-0.23	1.32
0.0	-0.23	1.32
0.18	0.03	1.29
0.27	0.26	1.24
0.36	0.6	1.11
0.44	0.92	0.82
0.4	1.06	0.63
0.4	1.06	0.63
0.43	1.15	0.46
0.37	1.26	0.27
0.3	1.27	0.07
0.32	1.27	0.01
0.34	1.24	-0.04
0.34	1.24	-0.04
0.4	1.26	-0.13
0.38	1.24	-0.15
0.43	1.22	-0.3
0.47	1.16	-0.4
0.47	1.16	-0.4
0.53	1.11	-0.45
0.59	1.08	-0.53
0.49	1.06	-0.63
0.37	1.06	-0.71
0.14	1.0	-0.87
0.14	1.0	-0.87
-0.04	0.87	-1.02
-0.15	0.73	-1.06
-0.22	0.61	-1.11
-0.33	0.41	-1.19
-0.43	0.16	-1.19
-0.43	0.16	-1.19
-0.55	-0.07	-1.17
-0.64	-0.41	-1.01
-0.79	-0.74	-0.74
-0.85	-0.86	-0.38
-0.85	-0.86	-0.38
-0.89	-0.86	-0.09
-1.01	-0.78	0.1
-1.05	-0.75	0.32
-1.03	-0.64	0.54
-0.92	-0.57	0.72
-0.92	-0.57	0.72
-0.93	-0.43	0.88
-0.87	-0.37	0.96
-0.84	-0.24	1.0
-0.76	-0.15	1.05
-0.7	-0.13	1.11
-0.7	-0.13	1.11
-0.69	-0.01	1.1
-0.61	0.1	1.12
-0.54	0.01	1.16
-0.41	-0.08	1.23
-0.41	-0.08	1.23
-0.33	-0.08	1.27
-0.29	-0.05	1.28
-0.33	0.09	1.26
-0.33	0.13	1.24
-0.27	0.21	1.25
-0.27	0.21	1.25
-0.25	0.42	1.24
-0.19	0.68	1.13
-0.22	0.72	1.04
-0.23	0.59	1.14
-0.11	0.36	1.2
-0.11	0.36	1.2
-0.01	0.18	1.3
0.08	0.05	1.32
0.13	-0.06	1.33
0.2	-0.11	1.33
0.2	-0.11	1.33
0.16	-0.2	1.29
0.17	-0.28	1.3
0.11	-0.29	1.28
0.13	-0.37	1.26
0.13	-0.4	1.25
0.13	-0.4	1.25
0.26	-0.43	1.25
0.33	-0.38	1.23
0.53	-0.39	1.16
0.67	-0.31	1.1
0.73	-0.32	1.08
0.73	-0.32	1.08
0.79	-0.45	0.92
0.88	-0.7	0.77
0.92	-0.78	0.56
1.02	-0.83	0.39
1.02	-0.83	0.39
1.13	-0.76	0.21
1.14	-0.73	0.08
1.08	-0.75	0.15
0.98	-0.92	0.33
0.77	-1.02	0.45
0.77	-1.02	0.45
0.69	-1.05	0.43
0.77	-1.02	0.45
0.87	-0.93	0.52
0.9	-0.82	0.52
0.9	-0.65	0.74
0.9	-0.65	0.74
0.69	-0.45	1.05
0.4	-0.17	1.23
0.17	0.24	1.27
-0.1	0.5	1.22
-0.1	0.5	1.22
-0.49	0.57	1.14
-0.81	0.48	0.97
-1.01	0.37	0.81
-1.12	0.16	0.63
-1.05	-0.16	0.78
-1.05	-0.16	0.78
-0.84	-0.54	0.85
-0.55	-0.89	0.84
-0.1	-1.05	0.78
0.24	-1.14	0.6
0.58	-1.08	0.55
0.58	-1.08	0.55
0.77	-0.97	0.59
0.96	-0.72	0.64
1.09	-0.56	0.56
1.17	-0.39	0.54
1.17	-0.39	0.54
1.17	-0.39	0.54
0.89	-0.09	0.97
0.54	0.3	1.11
0.29	0.65	1.05
0.29	0.89	0.95
0.29	0.89	0.95
0.23	1.0	0.75
0.2	1.05	0.71
0.26	1.1	0.59
0.16	1.2	0.44
0.0	1.19	0.45
0.0	1.19	0.45
-0.14	1.19	0.53
-0.2	1.2	0.51
-0.26	1.18	0.45
-0.33	1.18	0.33
-0.3	1.26	0.23
-0.3	1.26	0.23
-0.24	1.24	0.12
-0.19	1.3	-0.02
-0.13	1.29	-0.17
-0.1	1.23	-0.41
-0.1	1.23	-0.41
-0.12	1.18	-0.54
-0.04	1.09	-0.7
0.0	1.08	-0.72
-0.02	1.1	-0.7
-0.12	1.11	-0.7
-0.12	1.11	-0.7
-0.08	1.05	-0.74
-0.06	1.04	-0.78
-0.08	1.07	-0.74
-0.04	1.0	-0.82
-0.12	0.97	-0.83
-0.12	0.97	-0.83
-0.34	0.97	-0.78
-0.62	0.82	-0.74
-0.82	0.44	-0.86
-0.98	0.12	-0.83
-0.98	0.12	-0.83
-1.03	-0.22	-0.67
-1.11	-0.38	-0.59
-1.03	-0.56	-0.4
-1.04	-0.76	-0.1
-1.01	-0.78	0.23
-1.01	-0.78	0.23
-0.96	-0.71	0.55
-0.88	-0.58	0.79
-0.94	-0.57	0.73
-0.95	-0.48	0.73
-0.97	-0.47	0.78
-0.97	-0.47	0.78
-0.86	-0.47	0.88
-0.72	-0.49	0.95
-0.62	-0.43	1.07
-0.56	-0.28	1.15
-0.56	-0.28	1.15
-0.55	-0.21	1.18
-0.51	-0.12	1.19
-0.47	0.08	1.21
-0.34	0.08	1.27
-0.28	0.05	1.25
-0.28	0.05	1.25
-0.38	0.02	1.25
-0.38	0.0	1.21
-0.29	-0.05	1.3
-0.29	-0.1	1.29
-0.41	-0.14	1.23
-0.41	-0.14	1.23
-0.55	-0.19	1.16
-0.55	-0.19	1.12
-0.44	-0.23	1.21
-0.43	-0.19	1.2
-0.43	-0.19	1.2
-0.52	-0.05	1.2
-0.59	0.25	1.12
-0.7	0.59	0.99
-0.76	0.77	0.81
-0.83	0.82	0.63
-0.83	0.82	0.63
-0.86	0.9	0.49
-0.9	0.88	0.51
-0.87	0.82	0.55
-0.81	0.85	0.58
-0.86	0.89	0.56
-0.86	0.89	0.56
-0.88	0.84	0.45
-0.86	0.85	0.52
-0.82	0.75	0.64
-0.83	0.65	0.81
-0.83	0.65	0.81
-0.79	0.41	0.93
-0.91	0.16	0.89
-1.09	0.01	0.74
-1.19	-0.02	0.51
-1.28	-0.06	0.29
-1.28	-0.06	0.29
-1.29	-0.06	0.1
-1.32	-0.0	-0.04
-1.33	0.02	-0.16
-1.3	0.03	-0.07
-1.32	0.02	0.04
-1.32	0.02	0.04
-1.32	0.04	0.08
-1.23	0.14	0.31
-1.12	0.09	0.62
-0.96	0.03	0.82
-0.96	0.03	0.82
-0.92	-0.01	0.93
-0.99	-0.11	0.82
